name,faculty,start_time,days,std_enrolled,class_limit,class_code
Feminist Legal Theory and Practice,Abira Ashfaq,14:30,TUE - THU,17,30,96855
PRINCIPLES OF ACCOUNTING - I,Annie Ahmad,16:00,MON - WED,55,57,97510
"Labour, Capital and Colonialism: The making of modern South Asia",Dr. Ahmad Azhar,11:30,MON - WED,32,32,96713
INTRODUCTION TO STATISTICS,Dr. Farah Yasmeen,14:30,TUE - THU,46,46,96980
NUMERICAL ANALYSIS,Maqsood Alam,10:00,TUE - THU,40,40,97173
INTRODUCTION TO BUSINESS FINANCE,Tahira Maryam Jafferi,10:00,TUE - THU,49,50,96876
FINANCIAL MODELING,Saad Usman,18:30,MON - WED,53,53,97381
CALCULUS - II,MUHAMMAD SAMI SIDDIQUI,17:30,MON - WED,17,40,96816
INTRODUCTION TO COMPUTER APPLICATIONS,Usman Ali,14:30,TUE - THU,44,44,97099
THEORY OF AUTOMATA,Asma Sanam,11:30,SAT,49,49,97551
Management & Organizational Behavior,Hassan Mahmood,11:30,TUE - THU,55,55,97300
NONLINEAR DYNAMICS AND CHAOS,TBA Teacher To be Allocated,13:00,TUE - THU,0,40,97336
Optimization Techniques,TBA Teacher To be Allocated,14:30,TUE - THU,0,40,97367
ARABIC LANGUAGE-I,Muhammad Naeem,14:30,MON - WED,34,34,97078
CORPORATE LAW,Rahat Aziz,10:00,TUE - THU,0,42,97334
INTRODUCTION TO BUSINESS FINANCE,Noureen Ayaz,10:00,MON - WED,41,45,96654
PRINCIPLES OF MICROECONOMICS,SYED AHMED,16:00,TUE - THU,54,55,97010
MULTIVARIABLE CALCULUS,Dr. Danish Ali,10:00,MON - WED,32,40,97225
SPEECH COMMUNICATION,Syed Farhan Shaukat,14:30,MON - WED,30,25,97478
DIGITAL LOGIC DESIGN,Dr. Salman Zaffar,10:00,TUE - THU,24,40,97158
PAKISTAN HISTORY,Ramsha Siddiqui,14:30,TUE - THU,47,47,96850
PAKISTAN HISTORY,Ramsha Siddiqui,14:30,TUE - THU,47,47,96850
INTRODUCTION TO STATISTICS,Zohaib Aziz,17:30,FRI - SAT,38,41,96982
FRENCH LANGUAGE II,LEROY JOHNS,14:30,TUE,6,25,97504
Introduction to Cryptography,TASBIHA FATIMA,10:00,TUE - THU,12,35,97159
Introduction to Network Data Analysis,Bilal Butt,08:30,FRI - SAT,0,40,97603
ORGANIZATIONAL BEHAVIOR,Dr. Shahid R. Mir,10:00,TUE - THU,50,50,96895
FRENCH LANGUAGE - I,LEROY JOHNS,11:30,MON - WED,36,36,96721
FINANCIAL MANAGEMENT,Madeeha Omer Lakhani,14:30,TUE - THU,51,52,97592
ARABIC LANGUAGE-I,Muhammad Naeem,08:30,FRI - SAT,26,30,97185
PRINCIPLES OF MARKETING,Yasmin Zafar,11:30,TUE - THU,44,45,97291
INTRODUCTION TO PROGRAMMING,Dr. Imran Rauf,08:30,TUE - THU,30,40,97116
MANAGEMENT ACCOUNTING,Ghias Hassan Khan,10:00,TUE - THU,47,48,96856
ARABIC LANGUAGE-II,Abutahir siddiqui,16:00,FRI - SAT,7,25,97508
FINANCIAL MODELING,Syed Irfan Ahmed,10:00,TUE - THU,43,47,97368
PAKISTAN HISTORY,Ramsha Siddiqui,16:00,TUE - THU,47,48,96867
"Fragments, Footnotes, and other Other Forms in Fiction",Ms Palvashay Sethi,16:00,TUE - THU,32,33,96870
CALCULUS - I,Dr. Muhammad Imtiaz,10:00,TUE - THU,60,61,96779
HUMAN COMPUTER INTERACTION,Behraj Khan,10:00,MON - WED,50,50,96920
PAKISTAN HISTORY,Muhammad  Moiz Khan,14:30,MON - WED,47,47,96709
FINANCIAL ACCOUNTING,Annie Ahmad,14:30,MON - WED,46,46,96649
PAKISTAN HISTORY,Ramsha Siddiqui,16:00,TUE - THU,47,48,96867
PAKISTAN HISTORY,Muhammad  Moiz Khan,14:30,MON - WED,47,47,96709
DIGITAL LOGIC DESIGN,MUHAMMAD ZAIN UDDIN,10:00,TUE - THU,41,41,97140
ORGANIZATIONAL BEHAVIOR,Dr. Shahid R. Mir,11:30,MON - WED,49,50,96847
"Lights, Camera, History: Representations of Medieval South Asia in Bollywood",Aliya Iqbal Naqvi,14:30,TUE - THU,24,35,96866
PAKISTAN HISTORY,Mr Saqib Ahmed,13:00,MON - WED,45,45,96691
PAKISTAN HISTORY,Mr Saqib Ahmed,13:00,MON - WED,45,45,96691
INTRODUCTION TO COMPUTING,Jawwad Farid,08:30,FRI,31,70,97152
INTRODUCTION TO COMPUTING,Jawwad Farid,08:30,FRI,38,80,97151
BRAND MANAGEMENT,Dr. Farah Naz Baig,10:00,TUE - THU,53,53,96889
CALCULUS - I,Dr. Naveed Ahmad,16:00,TUE - THU,57,70,97038
STATISTICAL INFERENCE,Dr. Farah Yasmeen,14:30,FRI - SAT,30,40,97171
CORPORATE LAW,Mahwish Baasit Hussain,11:30,MON - WED,46,46,97338
MICROECONOMICS,Javeria Younas Abbasi,14:30,TUE - THU,35,40,96981
INTRODUCTION TO COMPUTER APPLICATIONS,Hira Khan,11:30,TUE - THU,42,42,97105
Introduction to Trade Marketing,Adnan Ahmed,14:30,FRI - SAT,46,46,97172
FINANCIAL MANAGEMENT,Dr. Mohsin Sadaqat,14:30,MON - WED,53,53,97359
STATISTICAL INFERENCE,Muhammad Najam Uddin,17:30,MON - WED,43,43,97123
SPEECH COMMUNICATION,Samina Wahid Perozani,16:00,MON - WED,21,25,97492
WEB BASED APPLICATION DEVELOPMENT,TBA Teacher To be Allocated,10:00,TUE - THU,0,30,97144
PRINCIPLES OF MARKETING,Dr. Nida Aslam Khan,10:00,TUE - THU,37,40,96881
FINANCIAL INSTITUTIONS AND MARKETS,Aitzaz Ahsan Alias Sarang,10:00,TUE - THU,48,49,97002
SPEECH COMMUNICATION,Tehmina Qureshi,11:30,MON - WED,16,25,97221
MANAGEMENT ACCOUNTING,Ghias Hassan Khan,08:30,TUE - THU,42,45,96848
ISLAMIC BANKING & FINANCE,Mr Muhammad Farhan Ul Haq Usmani,18:00,WED,0,42,97231
Analytical Approach to Marketing Decision,Hassaan Khalid,18:00,FRI - SAT,44,46,97191
INTRODUCTION TO PROGRAMMING,Maria Rahim,13:00,TUE - THU,31,40,97126
BUSINESS COMMUNICATION,Fatima Hatim Anjary,08:30,TUE - THU,59,59,96807
FINANCIAL MANAGEMENT,Mujeeb U Rehman Bhayo,16:00,TUE - THU,17,45,97385
PRINCIPLES OF MARKETING,Kamil Yousuf,11:30,SAT,50,50,97156
BUSINESS COMMUNICATION,Samina Wahid Perozani,14:30,TUE - THU,48,50,96978
FINANCIAL INSTITUTIONS AND MARKETS,Aitzaz Ahsan Alias Sarang,11:30,MON - WED,51,53,97310
BUSINESS COMMUNICATION,Sarah Mazhar,10:00,TUE - THU,50,50,97295
INTRODUCTION TO COMPUTING,Jawwad Farid,08:30,THU,43,80,96756
MICROECONOMICS,Dr. Khadija Malik Bari,10:00,TUE - THU,33,40,96761
MANAGEMENT ACCOUNTING,Zaira Anees,11:30,MON - WED,56,56,96680
DERIVATIVES,Arif Irfanullah,11:30,MON,55,55,97499
CHINESE LANGUAGE GROUP II,Zhang Jun,11:30,FRI - SAT,21,25,97146
PRINCIPLES OF MARKETING,Ms Kiran Ali,10:00,MON - WED,41,40,97263
INTRODUCTION TO STATISTICS,Imran Nasir,11:30,FRI - SAT,34,40,97145
Analytical Approach to Marketing Decision,Hassaan Khalid,18:00,FRI - SAT,45,45,97199
PRINCIPLES OF MARKETING,Dr. Ubedullah Khoso,14:30,MON - WED,45,45,96697
